team,season,poll,week,rank,date
Cortland,2025,COACHES,5,24,2025-11-24T19:53:36.438Z
Hampden-Sydney,2025,COACHES,5,25,2025-11-24T19:53:36.438Z
Ohio State,2025,COACHES,6,1,2025-11-24T19:53:36.438Z
Oregon,2025,COACHES,6,2,2025-11-24T19:53:36.438Z
Miami,2025,COACHES,6,3,2025-11-24T19:53:36.438Z
Ole Miss,2025,COACHES,6,4,2025-11-24T19:53:36.438Z
Texas A&M,2025,COACHES,6,5,2025-11-24T19:53:36.438Z
Penn State,2025,COACHES,6,6,2025-11-24T19:53:36.438Z
Texas,2025,COACHES,6,7,2025-11-24T19:53:36.438Z
Oklahoma,2025,COACHES,6,8,2025-11-24T19:53:36.438Z
Indiana,2025,COACHES,6,9,2025-11-24T19:53:36.438Z
Georgia,2025,COACHES,6,10,2025-11-24T19:53:36.438Z
Alabama,2025,COACHES,6,11,2025-11-24T19:53:36.438Z
Iowa State,2025,COACHES,6,12,2025-11-24T19:53:36.438Z
LSU,2025,COACHES,6,13,2025-11-24T19:53:36.438Z
Texas Tech,2025,COACHES,6,14,2025-11-24T19:53:36.438Z
Tennessee,2025,COACHES,6,15,2025-11-24T19:53:36.438Z
Georgia Tech,2025,COACHES,6,16,2025-11-24T19:53:36.438Z
Vanderbilt,2025,COACHES,6,17,2025-11-24T19:53:36.438Z
Missouri,2025,COACHES,6,18,2025-11-24T19:53:36.438Z
Florida State,2025,COACHES,6,19,2025-11-24T19:53:36.438Z
Michigan,2025,COACHES,6,20,2025-11-24T19:53:36.438Z
Notre Dame,2025,COACHES,6,21,2025-11-24T19:53:36.438Z
Illinois,2025,COACHES,6,22,2025-11-24T19:53:36.438Z
BYU,2025,COACHES,6,23,2025-11-24T19:53:36.438Z
Arizona State,2025,COACHES,6,24,2025-11-24T19:53:36.438Z
Utah,2025,COACHES,6,25,2025-11-24T19:53:36.438Z
North Dakota State,2025,COACHES,6,1,2025-11-24T19:53:36.438Z
South Dakota State,2025,COACHES,6,2,2025-11-24T19:53:36.438Z
Tarleton State,2025,COACHES,6,3,2025-11-24T19:53:36.438Z
Montana,2025,COACHES,6,4,2025-11-24T19:53:36.438Z
Montana State,2025,COACHES,6,5,2025-11-24T19:53:36.438Z
Illinois State,2025,COACHES,6,6,2025-11-24T19:53:36.438Z
UC Davis,2025,COACHES,6,7,2025-11-24T19:53:36.438Z
Lehigh,2025,COACHES,6,8,2025-11-24T19:53:36.438Z
Tennessee Tech,2025,COACHES,6,9,2025-11-24T19:53:36.438Z
Rhode Island,2025,COACHES,6,10,2025-11-24T19:53:36.438Z
Southern Illinois,2025,COACHES,6,11,2025-11-24T19:53:36.438Z
Monmouth,2025,COACHES,6,12,2025-11-24T19:53:36.438Z
Northern Arizona,2025,COACHES,6,13,2025-11-24T19:53:36.438Z
North Dakota,2025,COACHES,6,14,2025-11-24T19:53:36.438Z
Idaho,2025,COACHES,6,15,2025-11-24T19:53:36.438Z
West Georgia,2025,COACHES,6,16,2025-11-24T19:53:36.438Z
Jackson State,2025,COACHES,6,17,2025-11-24T19:53:36.438Z
Youngstown State,2025,COACHES,6,18,2025-11-24T19:53:36.438Z
Villanova,2025,COACHES,6,19,2025-11-24T19:53:36.438Z
Incarnate Word,2025,COACHES,6,20,2025-11-24T19:53:36.438Z
Austin Peay,2025,COACHES,6,21,2025-11-24T19:53:36.438Z
Mercer,2025,COACHES,6,22,2025-11-24T19:53:36.438Z
Abilene Christian,2025,COACHES,6,23,2025-11-24T19:53:36.438Z
Presbyterian,2025,COACHES,6,24,2025-11-24T19:53:36.438Z
Lamar,2025,COACHES,6,25,2025-11-24T19:53:36.438Z
North Central College,2025,COACHES,6,1,2025-11-24T19:53:36.438Z
University of Mount Union,2025,COACHES,6,2,2025-11-24T19:53:36.438Z
Johns Hopkins University,2025,COACHES,6,3,2025-11-24T19:53:36.438Z
Saint John's (MN),2025,COACHES,6,4,2025-11-24T19:53:36.438Z
Wisconsin-Lacrosse,2025,COACHES,6,5,2025-11-24T19:53:36.438Z
Salisbury,2025,COACHES,6,6,2025-11-24T19:53:36.438Z
Hardin-Simmons,2025,COACHES,6,7,2025-11-24T19:53:36.438Z
Wisconsin-Platteville,2025,COACHES,6,8,2025-11-24T19:53:36.438Z
Wartburg,2025,COACHES,6,9,2025-11-24T19:53:36.438Z
Wisconsin-Whitewater,2025,COACHES,6,10,2025-11-24T19:53:36.438Z
Bethel (MN),2025,COACHES,6,11,2025-11-24T19:53:36.438Z
Wisconsin-River Falls,2025,COACHES,6,12,2025-11-24T19:53:36.438Z
Depauw,2025,COACHES,6,13,2025-11-24T19:53:36.438Z
Trinity University TX,2025,COACHES,6,14,2025-11-24T19:53:36.438Z
Wheaton,2025,COACHES,6,15,2025-11-24T19:53:36.438Z
Carnegie Mellon,2025,COACHES,6,16,2025-11-24T19:53:36.438Z
Wisconsin-Oshkosh,2025,COACHES,6,17,2025-11-24T19:53:36.438Z
Central College,2025,COACHES,6,18,2025-11-24T19:53:36.438Z
John Carroll University,2025,COACHES,6,19,2025-11-24T19:53:36.438Z
Cortland,2025,COACHES,6,20,2025-11-24T19:53:36.438Z
Hampden-Sydney,2025,COACHES,6,21,2025-11-24T19:53:36.438Z
Mary Hardin-Baylor,2025,COACHES,6,22,2025-11-24T19:53:36.438Z
Hope College,2025,COACHES,6,23,2025-11-24T19:53:36.438Z
Christopher Newport,2025,COACHES,6,24,2025-11-24T19:53:36.438Z
Wabash College,2025,COACHES,6,25,2025-11-24T19:53:36.438Z
Ferris State,2025,COACHES,6,1,2025-11-24T19:53:36.438Z
Harding University,2025,COACHES,6,2,2025-11-24T19:53:36.438Z
West Florida,2025,COACHES,6,3,2025-11-24T19:53:36.438Z
Kutztown University,2025,COACHES,6,4,2025-11-24T19:53:36.438Z
Angelo State,2025,COACHES,6,5,2025-11-24T19:53:36.438Z
PennWest California,2025,COACHES,6,6,2025-11-24T19:53:36.438Z
Western Colorado,2025,COACHES,6,7,2025-11-24T19:53:36.438Z
Augustana University (SD),2025,COACHES,6,8,2025-11-24T19:53:36.438Z
UT Permian Basin,2025,COACHES,6,9,2025-11-24T19:53:36.438Z
Grand Valley State University,2025,COACHES,6,10,2025-11-24T19:53:36.438Z
West Alabama,2025,COACHES,6,11,2025-11-24T19:53:36.438Z
CSU Pueblo,2025,COACHES,6,12,2025-11-24T19:53:36.438Z
Minnesota Duluth,2025,COACHES,6,13,2025-11-24T19:53:36.438Z
Slippery Rock,2025,COACHES,6,14,2025-11-24T19:53:36.438Z
Minnesota State Mankato,2025,COACHES,6,15,2025-11-24T19:53:36.438Z
Central Washington,2025,COACHES,6,16,2025-11-24T19:53:36.438Z
Pittsburg St,2025,COACHES,6,17,2025-11-24T19:53:36.438Z
Virginia Union,2025,COACHES,6,18,2025-11-24T19:53:36.438Z
Indianapolis,2025,COACHES,6,19,2025-11-24T19:53:36.438Z
Delta State,2025,COACHES,6,20,2025-11-24T19:53:36.438Z
Findlay,2025,COACHES,6,21,2025-11-24T19:53:36.438Z
Carson-Newman College,2025,COACHES,6,22,2025-11-24T19:53:36.438Z
Frostburg State,2025,COACHES,6,23,2025-11-24T19:53:36.438Z
Northwest Missouri St,2025,COACHES,6,24,2025-11-24T19:53:36.438Z
UNC Pembroke,2025,COACHES,6,25,2025-11-24T19:53:36.438Z
Ohio State,2025,COACHES,7,1,2025-11-24T19:53:36.438Z
Oregon,2025,COACHES,7,2,2025-11-24T19:53:36.438Z
Miami,2025,COACHES,7,3,2025-11-24T19:53:36.438Z
Ole Miss,2025,COACHES,7,4,2025-11-24T19:53:36.438Z
Texas A&M,2025,COACHES,7,5,2025-11-24T19:53:36.438Z
Oklahoma,2025,COACHES,7,6,2025-11-24T19:53:36.438Z
Indiana,2025,COACHES,7,7,2025-11-24T19:53:36.438Z
Alabama,2025,COACHES,7,8,2025-11-24T19:53:36.438Z
Georgia,2025,COACHES,7,9,2025-11-24T19:53:36.438Z
Texas Tech,2025,COACHES,7,10,2025-11-24T19:53:36.438Z
LSU,2025,COACHES,7,11,2025-11-24T19:53:36.438Z
Tennessee,2025,COACHES,7,12,2025-11-24T19:53:36.438Z
Georgia Tech,2025,COACHES,7,13,2025-11-24T19:53:36.438Z
Missouri,2025,COACHES,7,14,2025-11-24T19:53:36.438Z
Michigan,2025,COACHES,7,15,2025-11-24T19:53:36.438Z
Notre Dame,2025,COACHES,7,16,2025-11-24T19:53:36.438Z
Illinois,2025,COACHES,7,17,2025-11-24T19:53:36.438Z
BYU,2025,COACHES,7,18,2025-11-24T19:53:36.438Z
Texas,2025,COACHES,7,19,2025-11-24T19:53:36.438Z
Vanderbilt,2025,COACHES,7,20,2025-11-24T19:53:36.438Z
Iowa State,2025,COACHES,7,21,2025-11-24T19:53:36.438Z
Penn State,2025,COACHES,7,22,2025-11-24T19:53:36.438Z
Arizona State,2025,COACHES,7,23,2025-11-24T19:53:36.438Z
Virginia,2025,COACHES,7,24,2025-11-24T19:53:36.438Z
Memphis,2025,COACHES,7,25,2025-11-24T19:53:36.438Z
North Dakota State,2025,COACHES,7,1,2025-11-24T19:53:36.438Z
South Dakota State,2025,COACHES,7,2,2025-11-24T19:53:36.438Z
Tarleton State,2025,COACHES,7,3,2025-11-24T19:53:36.438Z
Montana,2025,COACHES,7,4,2025-11-24T19:53:36.438Z
Montana State,2025,COACHES,7,5,2025-11-24T19:53:36.438Z
UC Davis,2025,COACHES,7,6,2025-11-24T19:53:36.438Z
Tennessee Tech,2025,COACHES,7,7,2025-11-24T19:53:36.438Z
Lehigh,2025,COACHES,7,8,2025-11-24T19:53:36.438Z
Southern Illinois,2025,COACHES,7,9,2025-11-24T19:53:36.438Z
Illinois State,2025,COACHES,7,10,2025-11-24T19:53:36.438Z
Monmouth,2025,COACHES,7,11,2025-11-24T19:53:36.438Z
North Dakota,2025,COACHES,7,12,2025-11-24T19:53:36.438Z
Idaho,2025,COACHES,7,13,2025-11-24T19:53:36.438Z
Jackson State,2025,COACHES,7,14,2025-11-24T19:53:36.438Z
Austin Peay,2025,COACHES,7,15,2025-11-24T19:53:36.438Z
Northern Arizona,2025,COACHES,7,16,2025-11-24T19:53:36.438Z
Villanova,2025,COACHES,7,17,2025-11-24T19:53:36.438Z
Rhode Island,2025,COACHES,7,18,2025-11-24T19:53:36.438Z
Mercer,2025,COACHES,7,19,2025-11-24T19:53:36.438Z
Youngstown State,2025,COACHES,7,20,2025-11-24T19:53:36.438Z
Abilene Christian,2025,COACHES,7,21,2025-11-24T19:53:36.438Z
West Georgia,2025,COACHES,7,21,2025-11-24T19:53:36.438Z
Presbyterian,2025,COACHES,7,23,2025-11-24T19:53:36.438Z
Lamar,2025,COACHES,7,24,2025-11-24T19:53:36.438Z
Harvard,2025,COACHES,7,25,2025-11-24T19:53:36.438Z
Ferris State,2025,COACHES,7,1,2025-11-24T19:53:36.438Z
Harding University,2025,COACHES,7,2,2025-11-24T19:53:36.438Z
West Florida,2025,COACHES,7,3,2025-11-24T19:53:36.438Z
Kutztown University,2025,COACHES,7,4,2025-11-24T19:53:36.438Z
Western Colorado,2025,COACHES,7,5,2025-11-24T19:53:36.438Z
UT Permian Basin,2025,COACHES,7,6,2025-11-24T19:53:36.438Z
Augustana University (SD),2025,COACHES,7,7,2025-11-24T19:53:36.438Z
Grand Valley State University,2025,COACHES,7,8,2025-11-24T19:53:36.438Z
West Alabama,2025,COACHES,7,9,2025-11-24T19:53:36.438Z
Minnesota Duluth,2025,COACHES,7,10,2025-11-24T19:53:36.438Z
CSU Pueblo,2025,COACHES,7,11,2025-11-24T19:53:36.438Z
Angelo State,2025,COACHES,7,12,2025-11-24T19:53:36.438Z
Central Washington,2025,COACHES,7,13,2025-11-24T19:53:36.438Z
Minnesota State Mankato,2025,COACHES,7,14,2025-11-24T19:53:36.438Z
Pittsburg St,2025,COACHES,7,15,2025-11-24T19:53:36.438Z
PennWest California,2025,COACHES,7,16,2025-11-24T19:53:36.438Z
Virginia Union,2025,COACHES,7,17,2025-11-24T19:53:36.438Z
Indianapolis,2025,COACHES,7,18,2025-11-24T19:53:36.438Z
Findlay,2025,COACHES,7,19,2025-11-24T19:53:36.438Z
Delta State,2025,COACHES,7,20,2025-11-24T19:53:36.438Z
Frostburg State,2025,COACHES,7,21,2025-11-24T19:53:36.438Z
Northwest Missouri St,2025,COACHES,7,22,2025-11-24T19:53:36.438Z
UNC Pembroke,2025,COACHES,7,23,2025-11-24T19:53:36.438Z
Slippery Rock,2025,COACHES,7,24,2025-11-24T19:53:36.438Z
Ashland,2025,COACHES,7,24,2025-11-24T19:53:36.438Z
Johnson C Smith,2025,COACHES,7,24,2025-11-24T19:53:36.438Z
North Central College,2025,COACHES,7,1,2025-11-24T19:53:36.438Z
University of Mount Union,2025,COACHES,7,2,2025-11-24T19:53:36.438Z
Johns Hopkins University,2025,COACHES,7,3,2025-11-24T19:53:36.438Z
Wisconsin-Lacrosse,2025,COACHES,7,4,2025-11-24T19:53:36.438Z
Salisbury,2025,COACHES,7,5,2025-11-24T19:53:36.438Z
Hardin-Simmons,2025,COACHES,7,6,2025-11-24T19:53:36.438Z
Wisconsin-Platteville,2025,COACHES,7,7,2025-11-24T19:53:36.438Z
Bethel (MN),2025,COACHES,7,8,2025-11-24T19:53:36.438Z
Wartburg,2025,COACHES,7,9,2025-11-24T19:53:36.438Z
Depauw,2025,COACHES,7,10,2025-11-24T19:53:36.438Z
Saint John's (MN),2025,COACHES,7,11,2025-11-24T19:53:36.438Z
Wisconsin-Whitewater,2025,COACHES,7,12,2025-11-24T19:53:36.438Z
Trinity University TX,2025,COACHES,7,13,2025-11-24T19:53:36.438Z
Wisconsin-Oshkosh,2025,COACHES,7,14,2025-11-24T19:53:36.438Z
Carnegie Mellon,2025,COACHES,7,15,2025-11-24T19:53:36.438Z
Central College,2025,COACHES,7,16,2025-11-24T19:53:36.438Z
Wisconsin-River Falls,2025,COACHES,7,17,2025-11-24T19:53:36.438Z
John Carroll University,2025,COACHES,7,18,2025-11-24T19:53:36.438Z
Cortland,2025,COACHES,7,19,2025-11-24T19:53:36.438Z
Hope College,2025,COACHES,7,20,2025-11-24T19:53:36.438Z
Christopher Newport,2025,COACHES,7,21,2025-11-24T19:53:36.438Z
Mary Hardin-Baylor,2025,COACHES,7,22,2025-11-24T19:53:36.438Z
Muhlenberg,2025,COACHES,7,23,2025-11-24T19:53:36.438Z
Wheaton,2025,COACHES,7,24,2025-11-24T19:53:36.438Z
Randolph-Macon,2025,COACHES,7,25,2025-11-24T19:53:36.438Z
Ohio State,2025,COACHES,8,1,2025-11-24T19:53:36.438Z
Miami,2025,COACHES,8,2,2025-11-24T19:53:36.438Z
Indiana,2025,COACHES,8,3,2025-11-24T19:53:36.438Z
Texas A&M,2025,COACHES,8,4,2025-11-24T19:53:36.438Z
Ole Miss,2025,COACHES,8,5,2025-11-24T19:53:36.438Z
Alabama,2025,COACHES,8,6,2025-11-24T19:53:36.438Z
Georgia,2025,COACHES,8,7,2025-11-24T19:53:36.438Z
Texas Tech,2025,COACHES,8,8,2025-11-24T19:53:36.438Z
Oregon,2025,COACHES,8,9,2025-11-24T19:53:36.438Z
LSU,2025,COACHES,8,10,2025-11-24T19:53:36.438Z
Tennessee,2025,COACHES,8,11,2025-11-24T19:53:36.438Z
Georgia Tech,2025,COACHES,8,12,2025-11-24T19:53:36.438Z
Oklahoma,2025,COACHES,8,13,2025-11-24T19:53:36.438Z
BYU,2025,COACHES,8,14,2025-11-24T19:53:36.438Z
Notre Dame,2025,COACHES,8,15,2025-11-24T19:53:36.438Z
Missouri,2025,COACHES,8,16,2025-11-24T19:53:36.438Z
Texas,2025,COACHES,8,17,2025-11-24T19:53:36.438Z
Vanderbilt,2025,COACHES,8,18,2025-11-24T19:53:36.438Z
Virginia,2025,COACHES,8,19,2025-11-24T19:53:36.438Z
Memphis,2025,COACHES,8,20,2025-11-24T19:53:36.438Z
USC,2025,COACHES,8,21,2025-11-24T19:53:36.438Z
Utah,2025,COACHES,8,22,2025-11-24T19:53:36.438Z
South Florida,2025,COACHES,8,23,2025-11-24T19:53:36.438Z
Cincinnati,2025,COACHES,8,24,2025-11-24T19:53:36.438Z
Illinois,2025,COACHES,8,25,2025-11-24T19:53:36.438Z
North Dakota State,2025,COACHES,8,1,2025-11-24T19:53:36.438Z
South Dakota State,2025,COACHES,8,2,2025-11-24T19:53:36.438Z
Tarleton State,2025,COACHES,8,3,2025-11-24T19:53:36.438Z
Montana,2025,COACHES,8,4,2025-11-24T19:53:36.438Z
Montana State,2025,COACHES,8,5,2025-11-24T19:53:36.438Z
UC Davis,2025,COACHES,8,6,2025-11-24T19:53:36.438Z
Lehigh,2025,COACHES,8,7,2025-11-24T19:53:36.438Z
Tennessee Tech,2025,COACHES,8,8,2025-11-24T19:53:36.438Z
Illinois State,2025,COACHES,8,9,2025-11-24T19:53:36.438Z
Monmouth,2025,COACHES,8,10,2025-11-24T19:53:36.438Z
North Dakota,2025,COACHES,8,11,2025-11-24T19:53:36.438Z
Southern Illinois,2025,COACHES,8,12,2025-11-24T19:53:36.438Z
Jackson State,2025,COACHES,8,13,2025-11-24T19:53:36.438Z
Villanova,2025,COACHES,8,14,2025-11-24T19:53:36.438Z
Rhode Island,2025,COACHES,8,15,2025-11-24T19:53:36.438Z
Mercer,2025,COACHES,8,16,2025-11-24T19:53:36.438Z
Abilene Christian,2025,COACHES,8,17,2025-11-24T19:53:36.438Z
Lamar,2025,COACHES,8,18,2025-11-24T19:53:36.438Z
Presbyterian,2025,COACHES,8,19,2025-11-24T19:53:36.438Z
Harvard,2025,COACHES,8,20,2025-11-24T19:53:36.438Z
Northern Arizona,2025,COACHES,8,21,2025-11-24T19:53:36.438Z
SE Louisiana,2025,COACHES,8,22,2025-11-24T19:53:36.438Z
West Georgia,2025,COACHES,8,23,2025-11-24T19:53:36.438Z
Austin Peay,2025,COACHES,8,24,2025-11-24T19:53:36.438Z
Youngstown State,2025,COACHES,8,25,2025-11-24T19:53:36.438Z
Ferris State,2025,COACHES,8,1,2025-11-24T19:53:36.438Z
Harding University,2025,COACHES,8,2,2025-11-24T19:53:36.438Z
West Florida,2025,COACHES,8,3,2025-11-24T19:53:36.438Z
Kutztown University,2025,COACHES,8,4,2025-11-24T19:53:36.438Z
Western Colorado,2025,COACHES,8,5,2025-11-24T19:53:36.438Z
Augustana University (SD),2025,COACHES,8,6,2025-11-24T19:53:36.438Z
Grand Valley State University,2025,COACHES,8,7,2025-11-24T19:53:36.438Z
West Alabama,2025,COACHES,8,8,2025-11-24T19:53:36.438Z
CSU Pueblo,2025,COACHES,8,9,2025-11-24T19:53:36.438Z
Central Washington,2025,COACHES,8,10,2025-11-24T19:53:36.438Z
Minnesota State Mankato,2025,COACHES,8,11,2025-11-24T19:53:36.438Z
Pittsburg St,2025,COACHES,8,12,2025-11-24T19:53:36.438Z
UT Permian Basin,2025,COACHES,8,13,2025-11-24T19:53:36.438Z
Virginia Union,2025,COACHES,8,14,2025-11-24T19:53:36.438Z
Indianapolis,2025,COACHES,8,15,2025-11-24T19:53:36.438Z
Minnesota Duluth,2025,COACHES,8,16,2025-11-24T19:53:36.438Z
Findlay,2025,COACHES,8,16,2025-11-24T19:53:36.438Z
Delta State,2025,COACHES,8,18,2025-11-24T19:53:36.438Z
Northwest Missouri St,2025,COACHES,8,19,2025-11-24T19:53:36.438Z
UNC Pembroke,2025,COACHES,8,20,2025-11-24T19:53:36.438Z
Angelo State,2025,COACHES,8,21,2025-11-24T19:53:36.438Z
Ashland,2025,COACHES,8,22,2025-11-24T19:53:36.438Z
Johnson C Smith,2025,COACHES,8,23,2025-11-24T19:53:36.438Z
Benedict College,2025,COACHES,8,24,2025-11-24T19:53:36.438Z
Slippery Rock,2025,COACHES,8,25,2025-11-24T19:53:36.438Z
North Central College,2025,COACHES,8,1,2025-11-24T19:53:36.438Z
University of Mount Union,2025,COACHES,8,2,2025-11-24T19:53:36.438Z
Johns Hopkins University,2025,COACHES,8,3,2025-11-24T19:53:36.438Z
Wisconsin-Lacrosse,2025,COACHES,8,4,2025-11-24T19:53:36.438Z
Salisbury,2025,COACHES,8,5,2025-11-24T19:53:36.438Z
Hardin-Simmons,2025,COACHES,8,6,2025-11-24T19:53:36.438Z
Bethel (MN),2025,COACHES,8,7,2025-11-24T19:53:36.438Z
Wartburg,2025,COACHES,8,8,2025-11-24T19:53:36.438Z
Depauw,2025,COACHES,8,9,2025-11-24T19:53:36.438Z
Wisconsin-Whitewater,2025,COACHES,8,10,2025-11-24T19:53:36.438Z
Saint John's (MN),2025,COACHES,8,11,2025-11-24T19:53:36.438Z
Wisconsin-River Falls,2025,COACHES,8,12,2025-11-24T19:53:36.438Z
Central College,2025,COACHES,8,13,2025-11-24T19:53:36.438Z
Wisconsin-Platteville,2025,COACHES,8,14,2025-11-24T19:53:36.438Z
John Carroll University,2025,COACHES,8,15,2025-11-24T19:53:36.438Z
Christopher Newport,2025,COACHES,8,16,2025-11-24T19:53:36.438Z
Cortland,2025,COACHES,8,17,2025-11-24T19:53:36.438Z
Hope College,2025,COACHES,8,18,2025-11-24T19:53:36.438Z
Carnegie Mellon,2025,COACHES,8,19,2025-11-24T19:53:36.438Z
Randolph-Macon,2025,COACHES,8,20,2025-11-24T19:53:36.438Z
Berry College,2025,COACHES,8,21,2025-11-24T19:53:36.438Z
Wheaton,2025,COACHES,8,22,2025-11-24T19:53:36.438Z
Trinity University TX,2025,COACHES,8,23,2025-11-24T19:53:36.438Z
Wisconsin-Oshkosh,2025,COACHES,8,24,2025-11-24T19:53:36.438Z
Maryville College (TN),2025,COACHES,8,25,2025-11-24T19:53:36.438Z
Ohio State,2025,COACHES,9,1,2025-11-24T19:53:36.438Z
Indiana,2025,COACHES,9,2,2025-11-24T19:53:36.438Z
Texas A&M,2025,COACHES,9,3,2025-11-24T19:53:36.438Z
Alabama,2025,COACHES,9,4,2025-11-24T19:53:36.438Z
Georgia,2025,COACHES,9,5,2025-11-24T19:53:36.438Z
Oregon,2025,COACHES,9,6,2025-11-24T19:53:36.438Z
Georgia Tech,2025,COACHES,9,7,2025-11-24T19:53:36.438Z
Ole Miss,2025,COACHES,9,8,2025-11-24T19:53:36.438Z
Miami,2025,COACHES,9,9,2025-11-24T19:53:36.438Z
BYU,2025,COACHES,9,10,2025-11-24T19:53:36.438Z
Oklahoma,2025,COACHES,9,11,2025-11-24T19:53:36.438Z
Vanderbilt,2025,COACHES,9,12,2025-11-24T19:53:36.438Z
Notre Dame,2025,COACHES,9,13,2025-11-24T19:53:36.438Z
Missouri,2025,COACHES,9,14,2025-11-24T19:53:36.438Z
Texas Tech,2025,COACHES,9,15,2025-11-24T19:53:36.438Z
Virginia,2025,COACHES,9,16,2025-11-24T19:53:36.438Z
Tennessee,2025,COACHES,9,17,2025-11-24T19:53:36.438Z
Texas,2025,COACHES,9,18,2025-11-24T19:53:36.438Z
LSU,2025,COACHES,9,19,2025-11-24T19:53:36.438Z
South Florida,2025,COACHES,9,20,2025-11-24T19:53:36.438Z
Cincinnati,2025,COACHES,9,21,2025-11-24T19:53:36.438Z
Louisville,2025,COACHES,9,22,2025-11-24T19:53:36.438Z
Illinois,2025,COACHES,9,23,2025-11-24T19:53:36.438Z
Michigan,2025,COACHES,9,24,2025-11-24T19:53:36.438Z
Arizona State,2025,COACHES,9,25,2025-11-24T19:53:36.438Z
North Dakota State,2025,COACHES,9,1,2025-11-24T19:53:36.438Z
South Dakota State,2025,COACHES,9,2,2025-11-24T19:53:36.438Z
Tarleton State,2025,COACHES,9,3,2025-11-24T19:53:36.438Z
Montana,2025,COACHES,9,4,2025-11-24T19:53:36.438Z
Montana State,2025,COACHES,9,5,2025-11-24T19:53:36.438Z
UC Davis,2025,COACHES,9,6,2025-11-24T19:53:36.438Z
Lehigh,2025,COACHES,9,7,2025-11-24T19:53:36.438Z
Tennessee Tech,2025,COACHES,9,8,2025-11-24T19:53:36.438Z
Monmouth,2025,COACHES,9,9,2025-11-24T19:53:36.438Z
North Dakota,2025,COACHES,9,10,2025-11-24T19:53:36.438Z
Jackson State,2025,COACHES,9,11,2025-11-24T19:53:36.438Z
Villanova,2025,COACHES,9,12,2025-11-24T19:53:36.438Z
Rhode Island,2025,COACHES,9,13,2025-11-24T19:53:36.438Z
Mercer,2025,COACHES,9,14,2025-11-24T19:53:36.438Z
Lamar,2025,COACHES,9,15,2025-11-24T19:53:36.438Z
Presbyterian,2025,COACHES,9,16,2025-11-24T19:53:36.438Z
Harvard,2025,COACHES,9,17,2025-11-24T19:53:36.438Z
Southern Illinois,2025,COACHES,9,18,2025-11-24T19:53:36.438Z
SE Louisiana,2025,COACHES,9,19,2025-11-24T19:53:36.438Z
Illinois State,2025,COACHES,9,20,2025-11-24T19:53:36.438Z
Youngstown State,2025,COACHES,9,21,2025-11-24T19:53:36.438Z
Northern Arizona,2025,COACHES,9,22,2025-11-24T19:53:36.438Z
Austin Peay,2025,COACHES,9,23,2025-11-24T19:53:36.438Z
Stephen F. Austin,2025,COACHES,9,24,2025-11-24T19:53:36.438Z
Abilene Christian,2025,COACHES,9,25,2025-11-24T19:53:36.438Z
Ferris State,2025,COACHES,9,1,2025-11-24T19:53:36.438Z
Harding University,2025,COACHES,9,2,2025-11-24T19:53:36.438Z
West Florida,2025,COACHES,9,3,2025-11-24T19:53:36.438Z
Kutztown University,2025,COACHES,9,4,2025-11-24T19:53:36.438Z
Augustana University (SD),2025,COACHES,9,5,2025-11-24T19:53:36.438Z
Western Colorado,2025,COACHES,9,6,2025-11-24T19:53:36.438Z
CSU Pueblo,2025,COACHES,9,7,2025-11-24T19:53:36.438Z
Central Washington,2025,COACHES,9,8,2025-11-24T19:53:36.438Z
Minnesota State Mankato,2025,COACHES,9,9,2025-11-24T19:53:36.438Z
Pittsburg St,2025,COACHES,9,10,2025-11-24T19:53:36.438Z
West Alabama,2025,COACHES,9,11,2025-11-24T19:53:36.438Z
Virginia Union,2025,COACHES,9,12,2025-11-24T19:53:36.438Z
Indianapolis,2025,COACHES,9,13,2025-11-24T19:53:36.438Z
Findlay,2025,COACHES,9,14,2025-11-24T19:53:36.438Z
Minnesota Duluth,2025,COACHES,9,15,2025-11-24T19:53:36.438Z
Northwest Missouri St,2025,COACHES,9,16,2025-11-24T19:53:36.438Z
Delta State,2025,COACHES,9,17,2025-11-24T19:53:36.438Z
Grand Valley State University,2025,COACHES,9,18,2025-11-24T19:53:36.438Z
Angelo State,2025,COACHES,9,19,2025-11-24T19:53:36.438Z
Ashland,2025,COACHES,9,20,2025-11-24T19:53:36.438Z
Benedict College,2025,COACHES,9,21,2025-11-24T19:53:36.438Z
Johnson C Smith,2025,COACHES,9,22,2025-11-24T19:53:36.438Z
UT Permian Basin,2025,COACHES,9,23,2025-11-24T19:53:36.438Z
Slippery Rock,2025,COACHES,9,24,2025-11-24T19:53:36.438Z
Southern Arkansas,2025,COACHES,9,25,2025-11-24T19:53:36.438Z
North Central College,2025,COACHES,9,1,2025-11-24T19:53:36.438Z
University of Mount Union,2025,COACHES,9,2,2025-11-24T19:53:36.438Z
Johns Hopkins University,2025,COACHES,9,3,2025-11-24T19:53:36.438Z
Salisbury,2025,COACHES,9,4,2025-11-24T19:53:36.438Z
Hardin-Simmons,2025,COACHES,9,5,2025-11-24T19:53:36.438Z
Bethel (MN),2025,COACHES,9,6,2025-11-24T19:53:36.438Z
Wartburg,2025,COACHES,9,7,2025-11-24T19:53:36.438Z
Wisconsin-Whitewater,2025,COACHES,9,8,2025-11-24T19:53:36.438Z
Wisconsin-Platteville,2025,COACHES,9,9,2025-11-24T19:53:36.438Z
Wisconsin-River Falls,2025,COACHES,9,10,2025-11-24T19:53:36.438Z
Saint John's (MN),2025,COACHES,9,11,2025-11-24T19:53:36.438Z
