team,season,poll,week,rank,date
Virginia,2025,AP,8,18,2025-11-24T19:53:36.438Z
South Florida,2025,AP,8,19,2025-11-24T19:53:36.438Z
USC,2025,AP,8,20,2025-11-24T19:53:36.438Z
Texas,2025,AP,8,21,2025-11-24T19:53:36.438Z
Memphis,2025,AP,8,22,2025-11-24T19:53:36.438Z
Utah,2025,AP,8,23,2025-11-24T19:53:36.438Z
Cincinnati,2025,AP,8,24,2025-11-24T19:53:36.438Z
Nebraska,2025,AP,8,25,2025-11-24T19:53:36.438Z
Ohio State,2025,AP,9,1,2025-11-24T19:53:36.438Z
Indiana,2025,AP,9,2,2025-11-24T19:53:36.438Z
Texas A&M,2025,AP,9,3,2025-11-24T19:53:36.438Z
Alabama,2025,AP,9,4,2025-11-24T19:53:36.438Z
Georgia,2025,AP,9,5,2025-11-24T19:53:36.438Z
Oregon,2025,AP,9,6,2025-11-24T19:53:36.438Z
Georgia Tech,2025,AP,9,7,2025-11-24T19:53:36.438Z
Ole Miss,2025,AP,9,8,2025-11-24T19:53:36.438Z
Miami,2025,AP,9,9,2025-11-24T19:53:36.438Z
Vanderbilt,2025,AP,9,10,2025-11-24T19:53:36.438Z
BYU,2025,AP,9,11,2025-11-24T19:53:36.438Z
Notre Dame,2025,AP,9,12,2025-11-24T19:53:36.438Z
Oklahoma,2025,AP,9,13,2025-11-24T19:53:36.438Z
Texas Tech,2025,AP,9,14,2025-11-24T19:53:36.438Z
Missouri,2025,AP,9,15,2025-11-24T19:53:36.438Z
Virginia,2025,AP,9,16,2025-11-24T19:53:36.438Z
Tennessee,2025,AP,9,17,2025-11-24T19:53:36.438Z
South Florida,2025,AP,9,18,2025-11-24T19:53:36.438Z
Louisville,2025,AP,9,19,2025-11-24T19:53:36.438Z
LSU,2025,AP,9,20,2025-11-24T19:53:36.438Z
Cincinnati,2025,AP,9,21,2025-11-24T19:53:36.438Z
Texas,2025,AP,9,22,2025-11-24T19:53:36.438Z
Illinois,2025,AP,9,23,2025-11-24T19:53:36.438Z
Arizona State,2025,AP,9,24,2025-11-24T19:53:36.438Z
Michigan,2025,AP,9,25,2025-11-24T19:53:36.438Z
Ohio State,2025,AP,10,1,2025-11-24T19:53:36.438Z
Indiana,2025,AP,10,2,2025-11-24T19:53:36.438Z
Texas A&M,2025,AP,10,3,2025-11-24T19:53:36.438Z
Alabama,2025,AP,10,4,2025-11-24T19:53:36.438Z
Georgia,2025,AP,10,5,2025-11-24T19:53:36.438Z
Oregon,2025,AP,10,6,2025-11-24T19:53:36.438Z
Ole Miss,2025,AP,10,7,2025-11-24T19:53:36.438Z
Georgia Tech,2025,AP,10,8,2025-11-24T19:53:36.438Z
Vanderbilt,2025,AP,10,9,2025-11-24T19:53:36.438Z
BYU,2025,AP,10,10,2025-11-24T19:53:36.438Z
Miami,2025,AP,10,10,2025-11-24T19:53:36.438Z
Notre Dame,2025,AP,10,12,2025-11-24T19:53:36.438Z
Texas Tech,2025,AP,10,13,2025-11-24T19:53:36.438Z
Tennessee,2025,AP,10,14,2025-11-24T19:53:36.438Z
Virginia,2025,AP,10,15,2025-11-24T19:53:36.438Z
Louisville,2025,AP,10,16,2025-11-24T19:53:36.438Z
Cincinnati,2025,AP,10,17,2025-11-24T19:53:36.438Z
Oklahoma,2025,AP,10,18,2025-11-24T19:53:36.438Z
Missouri,2025,AP,10,19,2025-11-24T19:53:36.438Z
Texas,2025,AP,10,20,2025-11-24T19:53:36.438Z
Michigan,2025,AP,10,21,2025-11-24T19:53:36.438Z
Houston,2025,AP,10,22,2025-11-24T19:53:36.438Z
USC,2025,AP,10,23,2025-11-24T19:53:36.438Z
Utah,2025,AP,10,24,2025-11-24T19:53:36.438Z
Memphis,2025,AP,10,25,2025-11-24T19:53:36.438Z
Ohio State,2025,AP,11,1,2025-11-24T19:53:36.439Z
Indiana,2025,AP,11,2,2025-11-24T19:53:36.439Z
Texas A&M,2025,AP,11,3,2025-11-24T19:53:36.439Z
Alabama,2025,AP,11,4,2025-11-24T19:53:36.439Z
Georgia,2025,AP,11,5,2025-11-24T19:53:36.439Z
Oregon,2025,AP,11,6,2025-11-24T19:53:36.439Z
Ole Miss,2025,AP,11,7,2025-11-24T19:53:36.439Z
BYU,2025,AP,11,8,2025-11-24T19:53:36.439Z
Texas Tech,2025,AP,11,9,2025-11-24T19:53:36.439Z
Notre Dame,2025,AP,11,10,2025-11-24T19:53:36.439Z
Oklahoma,2025,AP,11,11,2025-11-24T19:53:36.439Z
Virginia,2025,AP,11,12,2025-11-24T19:53:36.439Z
Texas,2025,AP,11,13,2025-11-24T19:53:36.439Z
Louisville,2025,AP,11,14,2025-11-24T19:53:36.439Z
Vanderbilt,2025,AP,11,15,2025-11-24T19:53:36.439Z
Georgia Tech,2025,AP,11,16,2025-11-24T19:53:36.439Z
Utah,2025,AP,11,17,2025-11-24T19:53:36.439Z
Miami,2025,AP,11,18,2025-11-24T19:53:36.439Z
Missouri,2025,AP,11,19,2025-11-24T19:53:36.439Z
USC,2025,AP,11,20,2025-11-24T19:53:36.439Z
Michigan,2025,AP,11,21,2025-11-24T19:53:36.439Z
Memphis,2025,AP,11,22,2025-11-24T19:53:36.439Z
Tennessee,2025,AP,11,23,2025-11-24T19:53:36.439Z
Washington,2025,AP,11,24,2025-11-24T19:53:36.439Z
Cincinnati,2025,AP,11,25,2025-11-24T19:53:36.439Z
Ohio State,2025,AP,12,1,2025-11-24T19:53:36.439Z
Indiana,2025,AP,12,2,2025-11-24T19:53:36.439Z
Texas A&M,2025,AP,12,3,2025-11-24T19:53:36.439Z
Alabama,2025,AP,12,4,2025-11-24T19:53:36.439Z
Georgia,2025,AP,12,5,2025-11-24T19:53:36.439Z
Ole Miss,2025,AP,12,6,2025-11-24T19:53:36.439Z
Oregon,2025,AP,12,7,2025-11-24T19:53:36.439Z
Texas Tech,2025,AP,12,8,2025-11-24T19:53:36.439Z
Notre Dame,2025,AP,12,9,2025-11-24T19:53:36.439Z
Texas,2025,AP,12,10,2025-11-24T19:53:36.439Z
Oklahoma,2025,AP,12,11,2025-11-24T19:53:36.439Z
BYU,2025,AP,12,12,2025-11-24T19:53:36.439Z
Vanderbilt,2025,AP,12,13,2025-11-24T19:53:36.439Z
Georgia Tech,2025,AP,12,14,2025-11-24T19:53:36.439Z
Utah,2025,AP,12,15,2025-11-24T19:53:36.439Z
Miami,2025,AP,12,16,2025-11-24T19:53:36.439Z
USC,2025,AP,12,17,2025-11-24T19:53:36.439Z
Michigan,2025,AP,12,18,2025-11-24T19:53:36.439Z
Louisville,2025,AP,12,19,2025-11-24T19:53:36.439Z
Virginia,2025,AP,12,20,2025-11-24T19:53:36.439Z
Tennessee,2025,AP,12,21,2025-11-24T19:53:36.439Z
Cincinnati,2025,AP,12,22,2025-11-24T19:53:36.439Z
Pittsburgh,2025,AP,12,23,2025-11-24T19:53:36.439Z
James Madison,2025,AP,12,24,2025-11-24T19:53:36.439Z
South Florida,2025,AP,12,25,2025-11-24T19:53:36.439Z
Ohio State,2025,AP,13,1,2025-11-24T19:53:36.439Z
Indiana,2025,AP,13,2,2025-11-24T19:53:36.439Z
Texas A&M,2025,AP,13,3,2025-11-24T19:53:36.439Z
Georgia,2025,AP,13,4,2025-11-24T19:53:36.439Z
Ole Miss,2025,AP,13,5,2025-11-24T19:53:36.439Z
Oregon,2025,AP,13,6,2025-11-24T19:53:36.439Z
Texas Tech,2025,AP,13,6,2025-11-24T19:53:36.439Z
Oklahoma,2025,AP,13,8,2025-11-24T19:53:36.439Z
Notre Dame,2025,AP,13,9,2025-11-24T19:53:36.439Z
Alabama,2025,AP,13,10,2025-11-24T19:53:36.439Z
BYU,2025,AP,13,11,2025-11-24T19:53:36.439Z
Vanderbilt,2025,AP,13,12,2025-11-24T19:53:36.439Z
Utah,2025,AP,13,13,2025-11-24T19:53:36.439Z
Miami,2025,AP,13,14,2025-11-24T19:53:36.439Z
Georgia Tech,2025,AP,13,15,2025-11-24T19:53:36.439Z
USC,2025,AP,13,16,2025-11-24T19:53:36.439Z
Texas,2025,AP,13,17,2025-11-24T19:53:36.439Z
Michigan,2025,AP,13,18,2025-11-24T19:53:36.439Z
Virginia,2025,AP,13,19,2025-11-24T19:53:36.439Z
Tennessee,2025,AP,13,20,2025-11-24T19:53:36.439Z
James Madison,2025,AP,13,21,2025-11-24T19:53:36.439Z
North Texas,2025,AP,13,22,2025-11-24T19:53:36.439Z
Missouri,2025,AP,13,23,2025-11-24T19:53:36.439Z
Tulane,2025,AP,13,24,2025-11-24T19:53:36.439Z
Houston,2025,AP,13,25,2025-11-24T19:53:36.439Z
Texas,2025,COACHES,1,1,2025-11-24T19:53:36.437Z
Ohio State,2025,COACHES,1,2,2025-11-24T19:53:36.437Z
Penn State,2025,COACHES,1,3,2025-11-24T19:53:36.437Z
Georgia,2025,COACHES,1,4,2025-11-24T19:53:36.437Z
Notre Dame,2025,COACHES,1,5,2025-11-24T19:53:36.437Z
Clemson,2025,COACHES,1,6,2025-11-24T19:53:36.437Z
Oregon,2025,COACHES,1,7,2025-11-24T19:53:36.437Z
Alabama,2025,COACHES,1,8,2025-11-24T19:53:36.437Z
LSU,2025,COACHES,1,9,2025-11-24T19:53:36.437Z
Miami,2025,COACHES,1,10,2025-11-24T19:53:36.437Z
Arizona State,2025,COACHES,1,11,2025-11-24T19:53:36.437Z
Illinois,2025,COACHES,1,12,2025-11-24T19:53:36.437Z
South Carolina,2025,COACHES,1,13,2025-11-24T19:53:36.437Z
Michigan,2025,COACHES,1,14,2025-11-24T19:53:36.437Z
Ole Miss,2025,COACHES,1,15,2025-11-24T19:53:36.437Z
SMU,2025,COACHES,1,16,2025-11-24T19:53:36.437Z
Florida,2025,COACHES,1,17,2025-11-24T19:53:36.437Z
Tennessee,2025,COACHES,1,18,2025-11-24T19:53:36.437Z
Indiana,2025,COACHES,1,19,2025-11-24T19:53:36.437Z
Kansas State,2025,COACHES,1,20,2025-11-24T19:53:36.437Z
Iowa State,2025,COACHES,1,21,2025-11-24T19:53:36.437Z
Texas A&M,2025,COACHES,1,21,2025-11-24T19:53:36.437Z
BYU,2025,COACHES,1,23,2025-11-24T19:53:36.437Z
Texas Tech,2025,COACHES,1,24,2025-11-24T19:53:36.437Z
Boise State,2025,COACHES,1,25,2025-11-24T19:53:36.437Z
North Dakota State,2025,COACHES,1,1,2025-11-24T19:53:36.438Z
Montana State,2025,COACHES,1,2,2025-11-24T19:53:36.438Z
South Dakota State,2025,COACHES,1,3,2025-11-24T19:53:36.438Z
Incarnate Word,2025,COACHES,1,4,2025-11-24T19:53:36.438Z
South Dakota,2025,COACHES,1,5,2025-11-24T19:53:36.438Z
Illinois State,2025,COACHES,1,6,2025-11-24T19:53:36.438Z
UC Davis,2025,COACHES,1,7,2025-11-24T19:53:36.438Z
Tarleton State,2025,COACHES,1,8,2025-11-24T19:53:36.438Z
Montana,2025,COACHES,1,9,2025-11-24T19:53:36.438Z
Rhode Island,2025,COACHES,1,10,2025-11-24T19:53:36.438Z
Mercer,2025,COACHES,1,11,2025-11-24T19:53:36.438Z
Idaho,2025,COACHES,1,12,2025-11-24T19:53:36.438Z
Villanova,2025,COACHES,1,13,2025-11-24T19:53:36.438Z
Sacramento State,2025,COACHES,1,14,2025-11-24T19:53:36.438Z
Lehigh,2025,COACHES,1,15,2025-11-24T19:53:36.438Z
Abilene Christian,2025,COACHES,1,16,2025-11-24T19:53:36.438Z
