teamId,season,coach,spPlus,elo,returningProduction,wins,losses,ties,confWins,confLosses
utsa,2025,,2.3,1585, ,0,0,0,0,0
valparaiso,2025,,,, ,0,0,0,0,0
vanderbilt,2025,,19.3,1827, ,0,0,0,0,0
villanova,2025,,,, ,0,0,0,0,0
virginia,2025,,11,1604, ,0,0,0,0,0
virginia-tech,2025,,-8.6,1409, ,0,0,0,0,0
vmi,2025,,,, ,0,0,0,0,0
wagner,2025,,,, ,0,0,0,0,0
wake-forest,2025,,5.8,1542, ,0,0,0,0,0
washington,2025,,17.5,1802, ,0,0,0,0,0
washington-state,2025,,0.8,1508, ,0,0,0,0,0
weber-state,2025,,,, ,0,0,0,0,0
western-carolina,2025,,,, ,0,0,0,0,0
western-illinois,2025,,,, ,0,0,0,0,0
western-kentucky,2025,,1.1,1401, ,0,0,0,0,0
western-michigan,2025,,-3.2,1407, ,0,0,0,0,0
west-georgia,2025,,,, ,0,0,0,0,0
west-virginia,2025,,-5.3,1355, ,0,0,0,0,0
william-mary,2025,,,, ,0,0,0,0,0
wisconsin,2025,,-4.7,1521, ,0,0,0,0,0
wofford,2025,,,, ,0,0,0,0,0
wyoming,2025,,-9.2,1333, ,0,0,0,0,0
yale,2025,,,, ,0,0,0,0,0
youngstown-state,2025,,,, ,0,0,0,0,0
